path,transcript,emotion,speaker
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_back_fear.wav,back,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bar_fear.wav,bar,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_base_fear.wav,base,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bath_fear.wav,bath,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bean_fear.wav,bean,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_beg_fear.wav,beg,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bite_fear.wav,bite,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_boat_fear.wav,boat,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bone_fear.wav,bone,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_book_fear.wav,book,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_bought_fear.wav,bought,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_burn_fear.wav,burn,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_cab_fear.wav,cab,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_calm_fear.wav,calm,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_came_fear.wav,came,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_cause_fear.wav,cause,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_chain_fear.wav,chain,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_chair_fear.wav,chair,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_chalk_fear.wav,chalk,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_chat_fear.wav,chat,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_check_fear.wav,check,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_cheek_fear.wav,cheek,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_chief_fear.wav,chief,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_choice_fear.wav,choice,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_cool_fear.wav,cool,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_dab_fear.wav,dab,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_date_fear.wav,date,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_dead_fear.wav,dead,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_death_fear.wav,death,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_deep_fear.wav,deep,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_dime_fear.wav,dime,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_dip_fear.wav,dip,fear,OAF
/Users/shrehithasureddy/Downloads/emotion_label/data/TESS/OAF_Fear/OAF_ditch_fear.wav,ditch,fear,OAF
